City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,yanam,16.7333,82.2167,297.82,89,6,1.62,IN,1679420960
309,hartland,43.105,-88.342,282.4,60,0,4.12,US,1679420768
310,tiarei,-17.5333,-149.3333,301.16,80,99,5.79,PF,1679420961
311,pangnirtung,66.1451,-65.7125,247.15,70,20,1.54,CA,1679420961
312,sept-iles,50.2001,-66.3821,274.29,46,20,4.63,CA,1679420760
313,ballina,-28.8667,153.5667,293.58,99,100,5.94,AU,1679420962
314,shenjiamen,29.9576,122.298,285.48,98,99,1.88,CN,1679420962
315,hambantota,6.1241,81.1185,299.76,77,81,2.16,LK,1679420962
316,bardiyah,31.7561,25.0865,290.37,66,44,4.64,LY,1679420963
317,vysokogornyy,50.1167,139.15,268.86,90,30,0.47,RU,1679420963
318,nikolskoye,59.7035,30.7861,273.1,87,12,2.68,RU,1679420964
319,brae,60.3964,-1.353,280.77,93,89,5.1,GB,1679420964
320,vidim,56.4088,103.1106,247.74,100,43,0.66,RU,1679420964
321,bemidji,47.4736,-94.8803,273.18,61,40,5.66,US,1679420720
322,vacha,55.8008,42.7706,273.03,95,99,4.1,RU,1679420965
323,victoria,22.2855,114.1577,298.18,90,100,0.45,HK,1679420828
324,marzuq,14.4,46.4667,298.32,51,83,2.93,YE,1679420966
325,bilma,18.6853,12.9164,303.7,21,63,3.64,NE,1679420966
326,kalabo,-14.97,22.6814,292.49,95,94,2.19,ZM,1679420967
327,weihe,32.9952,105.3247,278.47,93,100,3.35,CN,1679420967
328,caiaponia,-16.9567,-51.8103,296.65,77,99,4.11,BR,1679420967
329,tura,25.5198,90.2201,289.81,92,99,1.25,IN,1679420968
330,lorengau,-2.0226,147.2712,300.41,77,67,3.53,PG,1679420968
331,ayagoz,47.9714,80.4392,257.73,80,9,3.54,KZ,1679420969
332,clyde river,70.4692,-68.5914,253.28,71,0,4.12,CA,1679420969
333,toamasina,-18.1667,49.3833,300.15,89,40,1.03,MG,1679420970
334,pavlodar,52.3,76.95,269.04,74,0,4.0,KZ,1679420970
335,coihaique,-45.5752,-72.0662,290.49,63,0,1.54,CL,1679420922
336,luderitz,-26.6481,15.1594,291.1,76,0,7.97,NA,1679420971
337,shepsi,44.0361,39.1489,282.22,91,97,2.8,RU,1679420971
338,sur,22.5667,59.5289,299.11,57,40,4.58,OM,1679420972
339,bethel,41.3712,-73.414,289.61,27,0,4.63,US,1679420972
340,raudeberg,61.9875,5.1352,276.46,68,100,4.59,NO,1679420972
341,gardner,42.5751,-71.9981,285.57,36,0,6.69,US,1679420920
342,turan,16.0678,108.2208,298.14,94,40,0.51,VN,1679420973
343,eureka,40.8021,-124.1637,284.49,81,100,3.63,US,1679420711
344,qostanay,53.1667,63.5833,266.31,86,0,5.0,KZ,1679420973
345,acapulco,16.8634,-99.8901,305.05,37,75,2.57,MX,1679420775
346,havoysund,70.9963,24.6622,268.28,81,100,8.14,NO,1679420974
347,honiara,-9.4333,159.95,298.16,92,94,0.61,SB,1679420974
348,mount isa,-20.7333,139.5,298.02,69,99,0.0,AU,1679420975
349,teguise,29.0605,-13.564,292.27,64,20,8.75,ES,1679420975
350,vanimo,-2.6741,141.3028,299.01,89,99,2.74,PG,1679420975
351,charlottesville,38.0293,-78.4767,291.46,16,0,3.09,US,1679420976
352,sorsk,54.0033,90.2467,258.8,94,95,1.18,RU,1679420976
353,beloha,-25.1667,45.05,296.17,82,56,6.66,MG,1679420981
354,husavik,66.0449,-17.3389,270.35,79,100,13.04,IS,1679420982
355,eregli,37.5133,34.0467,282.03,57,11,0.56,TR,1679420982
356,salamiyah,35.0113,37.0532,283.53,87,23,5.67,SY,1679420983
357,taoudenni,22.6783,-3.9836,302.77,16,0,3.49,ML,1679420983
358,ligayan,4.6533,119.4706,300.57,77,100,2.73,PH,1679420983
359,ahipara,-35.1667,173.1667,289.79,73,82,6.04,NZ,1679420984
360,gaoua,10.2992,-3.2508,305.63,36,79,3.16,BF,1679420984
361,callaway,30.153,-85.5699,292.54,37,0,3.09,US,1679420984
362,maningrida,-12.0667,134.2667,297.78,91,99,3.15,AU,1679420985
363,nelson bay,-32.7167,152.15,293.71,90,99,3.58,AU,1679420985
364,sorong,-0.8833,131.25,299.1,83,100,1.23,ID,1679420985
365,tiznit,29.5833,-9.5,294.51,29,1,3.44,MA,1679420986
